6;S201-B6;S203-B6;
8;S201-B8;S203-B8;
10;S201-B10;S203-B10;
16;S201-B16;S203-B16;
20;S201-B20;S203-B20;
25;S201-B25;S203-B25;
32;S201-B32;S203-B32;
40;S201-B40;S203-B40;
50;S201-B50;S203-B50;
63;S201-B63;S203-B63;
80;XT1N 100;TMD80A
100;XT1N 100;TMD100A
125;XT1N 160;TMD125A
160;XT1N 160;TMD160A
200;XT3N 250;TMD200A
250;XT3N 250;TMD250A
400;XT5N 400;Ekip LS/I
630;XT5N 630;Ekip LS/I
800;XT6N 800;Ekip LS/I
1000;XT6N 1000;Ekip LS/I
1250;E1.2N 1250;Ekip LSIG
1600;E1.2N 1600;Ekip LSIG
2000;E2.2S 2000;Ekip LSIG
2500;E2.2S 2500;Ekip LSIG